id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
2508,"ring (circle, geometric)",noun,a2,nan,घेरा (m) / वृत्त (m) / चक्र (m),घेरा (m) / हल्क़ा (m) / वृत्त (m),ghērā (m) / vr̥tt (m) / cakr (m),ghērā (m) / halqā (m) / vr̥tt (m)
2509,ring (circular shape),noun,a2,nan,अंगूठी (f) / छल्ला (m) / मुद्रिका (f),अंगूठी (f) / छल्ला (m) / हल्क़ा (m),aṁgūṭhī (f) / challā (m) / mudrikā (f),aṁgūṭhī (f) / challā (m) / halqā (m)
2510,ring (finger ring),noun,a2,N/A,अंगूठी (f) / मुद्रिका (f),अंगूठी (f) / छल्ला (m),aṁgūṭhī (f) / mudrikā (f),aṁgūṭhī (f) / challā (m)
2511,rock (music genre),noun,a2,N/A,रॉक संगीत (m) / रॉक म्यूज़िक (m),रॉक संगीत (m) / रॉक म्यूज़िक (m),rôk saṁgīt (m) / rôk myūzik (m),rôk saṁgīt (m) / rôk myūzik (m)
2512,role,noun,a2,N/A,भूमिका (f) / क़िरदार (m) / पात्र (m),क़िरदार (m) / भूमिका (f) / ओहदा (m),bhūmikā (f) / qiradār (m) / pātr (m),qiradār (m) / bhūmikā (f) / ōhadā (m)
2513,roof (of the mouth),noun,a2,N/A,तालु (m),तालु (m),tālu (m),tālu (m)
2514,round,preposition,a2,N/A,चारों ओर / आस-पास / इर्द-गिर्द,चारों ओर / आस-पास / इर्द-गिर्द,cārōṁ ōr / ās-pās / ird-gird,cārōṁ ōr / ās-pās / ird-gird
2515,round (around),preposition,a2,N/A,के चारों ओर / के आस-पास / के इर्द-गिर्द,के चारों ओर / के आस-पास / के इर्द-गिर्द,kē cārōṁ ōr / kē ās-pās / kē ird-gird,kē cārōṁ ōr / kē ās-pās / kē ird-gird
2516,round (number),adjective,a2,N/A,लगभग / पूरी,लगभग / पूरी,lagabhag / pūrī,lagabhag / pūrī
2517,round (shape),adjective,a2,N/A,गोल / वृत्ताकार,गोल / मुदव्वर,gōl / vr̥ttākār,gōl / mudavvar
2518,round (stage or cycle),noun,a2,N/A,दौर (m) / चरण (m) / पारी (f),दौर (m) / मरहला (m) / पारी (f),daur (m) / caraṇa (m) / pārī (f),daur (m) / marahalā (m) / pārī (f)
2519,round number,adjective,a2,N/A,लगभग / पूरी,लगभग / पूरी,lagabhag / pūrī,lagabhag / pūrī
2520,route,noun,a2,nan,रास्ता (m) / मार्ग (m) / पथ (m),रास्ता (m) / राह (f) / गुज़रगाह (f),rāstā (m) / mārg (m) / path (m),rāstā (m) / rāh (f) / guzaragāh (f)
2521,routine (procedure),noun,a2,nan,रोज़मर्रा (m) / दिनचर्या (f) / नित्यक्रम (m),मामूल (m) / रोज़मर्रा (m) / दस्तूर (m),rōzamarrā (m) / dinacaryā (f) / nityakram (m),māmūl (m) / rōzamarrā (m) / dastūr (m)
2522,"routine (procedure, sequence)",noun,a2,nan,रोज़मर्रा (m) / दिनचर्या (f) / नित्यक्रम (m),मामूल (m) / रोज़मर्रा (m) / दस्तूर (m),rōzamarrā (m) / dinacaryā (f) / nityakram (m),māmūl (m) / rōzamarrā (m) / dastūr (m)
2523,rubbish (nonsense),noun,a2,nan,बकवास (f) / बकझक (f) / निरर्थक बात (f),बकवास (f) / फ़ुज़ूल बात (f) / लफ़्फ़ाज़ी (f),bakavās (f) / bakajhak (f) / nirarthak bāt (f),bakavās (f) / fuzūl bāt (f) / laffāzī (f)
2524,rubbish (waste material),noun,a2,nan,कूड़ा (m) / कचरा (m) / अपशिष्ट (m),कूड़ा (m) / कचरा (m) / फ़ुज़लात (m),kūṛā (m) / kacarā (m) / apaśiṣṭa (m),kūṛā (m) / kacarā (m) / fuzalāt (m)
2525,"rude (of a comment or action, impolite or indecent)",adjective,a2,nan,असभ्य / अभद्र / अशिष्ट,बदतमीज़ / गुस्ताख़ाना / नाज़ेबा,asabhy / abhadr / aśiṣṭa,badatamīz / gustāk͟hānā / nāzēbā
2526,"rude (of a person, rough or brusque)",adjective,a2,nan,असभ्य / बदतमीज़ / अशिष्ट,बदतमीज़ / गुस्ताख़ / बेअदब,asabhy / badatamīz / aśiṣṭa,badatamīz / gustāk͟h / bēadab
2527,run (a streak or series),noun,a2,nan,सिलसिला (m) / दौर (m) / क्रम (m),सिलसिला (m) / दौर (m) / क़तार (f),silasilā (m) / daur (m) / kram (m),silasilā (m) / daur (m) / qatār (f)
2528,"runner (assistant, errand boy)",noun,a2,nan,चपरासी (m) / हरकारा (m) / सहायक (m),चपरासी (m) / हरकारा (m) / क़ारिंदा (m),caparāsī (m) / harakārā (m) / sahāyak (m),caparāsī (m) / harakārā (m) / qāriṁdā (m)
2529,runner (mat or fabric),noun,a2,nan,दरी (f) / गलीचा (m) / बिछौना (m),दरी (f) / गलीचा (m) / बिछौना (m),darī (f) / galīcā (m) / bichaunā (m),darī (f) / galīcā (m) / bichaunā (m)
2530,runner (messenger),noun,a2,nan,हरकारा (m) / दूत (m),हरकारा (m) / क़ासिद (m) / पैग़ामबर (m),harakārā (m) / dūt (m),harakārā (m) / qāsid (m) / paiġāmabar (m)
2531,running (operation or management),noun,a2,nan,संचालन (m) / प्रबंधन (m),संचालन (m) / इंतिज़ाम (m) / नज़्म-ओ-नसक़ (m),saṁcālan (m) / prabaṁdhan (m),saṁcālan (m) / iṁtizām (m) / nazm-ō-nasaq (m)
2532,"sadly (unfortunately, regrettably)",adverb,a2,nan,दुर्भाग्यवश / अफ़सोस की बात है कि / खेदपूर्वक,बदक़िस्मती से / अफ़सोसनाक तौर पर,durbhāgyavaśa / afasōs kī bāt hai ki / khēdapūrvak,badaqismatī sē / afasōsanāk taur par
2533,sadly (with sorrow),adverb,a2,nan,उदासी से / दुख से / शोकपूर्वक,उदासी से / ग़मगीनी से / रंज से,udāsī sē / dukh sē / śōkapūrvak,udāsī sē / ġamagīnī sē / raṁj sē
2534,safe,adjective,a2,nan,सुरक्षित / महफ़ूज़ / निरापद,महफ़ूज़ / सलामत / बेख़तर,surakṣit / mahafūz / nirāpad,mahafūz / salāmat / bēk͟hatar
2535,sailing,noun,a2,nan,नौकायन (m) / जहाज़रानी (f) / जलयात्रा (f),नौकायन (m) / जहाज़रानी (f) / कश्तीरानी (f),naukāyan (m) / jahāzarānī (f) / jalayātrā (f),naukāyan (m) / jahāzarānī (f) / kaśtīrānī (f)
2536,sale (discount event),noun,a2,nan,सेल (f) / छूट (f),सेल (f) / छूट (f) / तख़फ़ीफ़ (f),sēl (f) / chūṭa (f),sēl (f) / chūṭa (f) / tak͟hafīf (f)
2537,sale (transaction),noun,a2,nan,बिक्री (f) / विक्रय (m),बिक्री (f) / फ़रोख़्त (f) / सौदा (m),bikrī (f) / vikray (m),bikrī (f) / farōk͟ht (f) / saudā (m)
2538,sauce,noun,a2,nan,सॉस (f) / चटनी (f) / तरी (f),सॉस (f) / चटनी (f) / तरी (f),sôs (f) / caṭanī (f) / tarī (f),sôs (f) / caṭanī (f) / tarī (f)
2539,scared,adjective,a2,nan,डरा हुआ / भयभीत / आतंकित,डरा हुआ / ख़ौफ़ज़दा / सहमा हुआ,ḍarā huā / bhayabhīt / ātaṁkit,ḍarā huā / k͟haufazadā / sahamā huā
2540,"scary (frightening, general)",adjective,a2,nan,डरावना / भयानक,डरावना / ख़ौफ़नाक,ḍarāvanā / bhayānak,ḍarāvanā / k͟haufanāk
2541,"scary (terrifying, intense)",adjective,a2,nan,भयानक / भयावह,ख़ौफ़नाक / दहश्तनाक,bhayānak / bhayāvah,k͟haufanāk / dahaśtanāk
2542,scene (spectacle or commotion),noun,a2,nan,नज़ारा (m) / हंगामा (m) / दृश्य (m),नज़ारा (m) / हंगामा (m) / मंज़र (m),nazārā (m) / haṁgāmā (m) / dr̥śy (m),nazārā (m) / haṁgāmā (m) / maṁzar (m)
2543,scene (visual setting),noun,a2,nan,दृश्य (m) / मंज़र (m),मंज़र (m) / सीन (m),dr̥śy (m) / maṁzar (m),maṁzar (m) / sīn (m)
2544,score,noun,a2,nan,स्कोर (m) / अंक (m),स्कोर (m) / नम्बरात (m),skōr (m) / aṁk (m),skōr (m) / nambarāt (m)
2545,search (official investigation),noun,a2,nan,जाँच (f) / तलाशी (f) / खोज (f),जाँच (f) / तलाशी (f) / तफ़्तीश (f),jām̐c (f) / talāśī (f) / khōj (f),jām̐c (f) / talāśī (f) / taftīśa (f)
2546,season,noun,a2,nan,मौसम (m) / ऋतु (f),मौसम (m) / रुत (f),mausam (m) / r̥tu (f),mausam (m) / rut (f)
2547,second (ordinal),adverb,a2,nan,दूसरे नंबर पर / द्वितीय स्थान पर,दूसरे नम्बर पर / दूसरे दर्जे पर,dūsarē naṁbar par / dvitīy sthān par,dūsarē nambar par / dūsarē darjē par
2548,second-hand,adjective,a2,nan,पुराना / इस्तेमाल किया हुआ,पुराना / इस्तेमालशुदा,purānā / istēmāl kiyā huā,purānā / istēmālaśudā
2549,secondly,adverb,a2,nan,दूसरे / द्वितीयतः,दूसरे / सानियन,dūsarē / dvitīyataḥ,dūsarē / sāniyan
2550,secret,adjective,a2,nan,गुप्त / गोपनीय / रहस्यमय,ख़ूफ़िया / पोशीदा / राज़दार,gupt / gōpanīy / rahasyamay,k͟hūfiyā / pōśīdā / rāzadār
2551,"secret (key, method)",noun,a2,nan,राज़ (m) / भेद (m) / रहस्य (m),राज़ (m) / भेद (m) / सर (m),rāz (m) / bhēd (m) / rahasy (m),rāz (m) / bhēd (m) / sar (m)
2552,"secretary (official, society head)",noun,a2,nan,सेक्रेटरी (m) / सचिव (m) / मंत्री (m),सेक्रेटरी (m) / सचिव (m) / मुंशी (m),sēkrēṭarī (m) / saciv (m) / maṁtrī (m),sēkrēṭarī (m) / saciv (m) / muṁśī (m)
2553,secretary (personal assistant),noun,a2,nan,पी.ए. (m) / निजी सचिव (m) / सहायक (m),पी.ए. (m) / निजी सेक्रेटरी (m) / सहायक (m),pī.ē. (m) / nijī saciv (m) / sahāyak (m),pī.ē. (m) / nijī sēkrēṭarī (m) / sahāyak (m)
2554,"security (safety, protection)",noun,a2,nan,सुरक्षा (f) / हिफ़ाज़त (f) / बचाव (m),हिफ़ाज़त (f) / सलामती (f) / तहफ़्फ़ुज़ (m),surakṣā (f) / hifāzat (f) / bacāv (m),hifāzat (f) / salāmatī (f) / tahaffuz (m)
2555,seem,linking verb,a2,intransitive,लगना / मालूम होना / प्रतीत होना,लगना / मालूम होना / दिखाई देना,laganā / mālūm hōnā / pratīt hōnā,laganā / mālūm hōnā / dikhāī dēnā
2556,sense (faculty),noun,a2,nan,इंद्रिय (f) / ज्ञानेंद्रिय (f),हिस (f) / इंद्रिय (f),iṁdriy (f) / jñānēṁdriy (f),his (f) / iṁdriy (f)
2557,"sense (feeling, awareness)",noun,a2,nan,एहसास (m) / भावना (f) / चेतना (f),एहसास (m) / शऊर (m) / तसव्वुर (m),ēhasās (m) / bhāvanā (f) / cētanā (f),ēhasās (m) / śaūr (m) / tasavvur (m)
2558,sense (judgment),noun,a2,nan,समझ (f) / अक़्ल (f) / विवेक (m),अक़्ल (f) / समझ (f) / शऊर (m),samajh (f) / aql (f) / vivēk (m),aql (f) / samajh (f) / śaūr (m)
2559,series (sequence of events),noun,a2,nan,सिलसिला (m) / क्रम (m) / श्रंखला (f),सिलसिला (m) / क़तार (f) / तसलसुल (m),silasilā (m) / kram (m) / śraṁkhalā (f),silasilā (m) / qatār (f) / tasalasul (m)
2560,series (TV show),noun,a2,nan,धारावाहिक (m) / सीरीज़ (f) / शृंखला (f),सीरीज़ (f) / सिलसिला (m) / धारावाहिक (m),dhārāvāhik (m) / sīrīz (f) / śr̥ṁkhalā (f),sīrīz (f) / silasilā (m) / dhārāvāhik (m)
2561,serious (severe),adjective,a2,nan,संजीदा / गंभीर / संगीन,संजीदा / संगीन / गंभीर,saṁjīdā / gaṁbhīr / saṁgīn,saṁjīdā / saṁgīn / gaṁbhīr
2562,"service (duty, assistance)",noun,a2,nan,सेवा (f) / मदद (f) / ख़िदमत (f),ख़िदमत (f) / सेवा (f) / मदद (f),sēvā (f) / madad (f) / k͟hidamat (f),k͟hidamat (f) / sēvā (f) / madad (f)
2563,several,pronoun,a2,nan,कई / कुछ / अनेक,कई / चंद / कुछ,kaī / kuch / anēk,kaī / caṁd / kuch
2564,several (people),pronoun,a2,nan,कई / कुछ / अनेक,कई / चंद / कुछ,kaī / kuch / anēk,kaī / caṁd / kuch
2565,"shall (suggestion, invitation)",modal verb,a2,nan,चाहिए / करना (जैसे 'क्या करें?'),चाहिए / करना (जैसे 'क्या करें?'),cāhiē / karanā (jaisē 'kyā karēṁ?'),cāhiē / karanā (jaisē 'kyā karēṁ?')
2566,shape (physical form),noun,a2,nan,शक्ल (f) / आकार (m) / रूप (m) / बनावट (f),शक्ल (f) / बनावट (f) / रूप (m) / आकार (m),śakl (f) / ākār (m) / rūp (m) / banāvaṭa (f),śakl (f) / banāvaṭa (f) / rūp (m) / ākār (m)
2567,sheet (bedding),noun,a2,nan,चादर (f) / बेडशीट (f),चादर (f) / बेडशीट (f),cādar (f) / bēḍaśīṭa (f),cādar (f) / bēḍaśīṭa (f)
2568,sheet (of paper),noun,a2,nan,कागज़ (m) / पन्ना (m),कागज़ (m) / वर्क़ (m),kāgaz (m) / pannā (m),kāgaz (m) / varq (m)
2569,ship,noun,a2,nan,जहाज़ (m) / नाव (f) / पोत (m),जहाज़ (m) / कश्ती (f) / पोत (m),jahāz (m) / nāv (f) / pōt (m),jahāz (m) / kaśtī (f) / pōt (m)
2570,should (expectation),modal verb,a2,nan,चाहिए / होना चाहिए,चाहिए / होना चाहिए,cāhiē / hōnā cāhiē,cāhiē / hōnā cāhiē
2571,shoulder (of a road),noun,a2,nan,सड़क का किनारा (m) / पटरी (f) / मार्ग-पार्श्व (m),सड़क का किनारा (m) / पटरी (f) / शाना-ए-सड़क (m),saṛak kā kinārā (m) / paṭarī (f) / mārg-pārśv (m),saṛak kā kinārā (m) / paṭarī (f) / śānā-ē-saṛak (m)
