id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
958,"boring (tedious, dull)",adjective,a1,N/A,ಬೇಸರ ತರಿಸುವ / ನೀರಸವಾದ / ಕಂಟಾಳವಾದ,bēsara tarisuva / nīrasavāda / kaṁṭāḷavāda
959,"boring (uninteresting, monotonous)",adjective,a2,N/A,ಏಕತಾನತೆಯ / ನೀರಸ / ಒಂದೇ ತೆರನಾದ,ēkatānateya / nīrasa / oṁdē teranāda
960,to be born,verb,a1,intransitive,ಹುಟ್ಟು / ಜನಿಸು / ಉದಯಿಸು,huṭṭu / janisu / udayisu
961,"to borrow (an idea, concept)",verb,b1,transitive,ಅಳವಡಿಸಿಕೊ / ಸ್ವೀಕರಿಸು / ಅನುಸರಿಸು,aḷavaḍisiko / svīkarisu / anusarisu
962,boss (owner or head),noun,a2,N/A,ಮಾಲೀಕ / ಮುಖ್ಯಸ್ಥ / ಮೇಲಧಿಕಾರಿ / ಬಾಸ್ಸು,mālīka / mukhyastha / mēladhikāri / bāssu
963,both (people),determiner,a1,N/A,ಇಬ್ಬರೂ,ibbarū
964,both (modifying a noun),pronoun,a1,N/A,ಎರಡೂ,eraḍū
965,to bother (annoy or interrupt),verb,b1,transitive,ತೊಂದರೆ ಕೊಡು / ಕಿರಿಕಿರಿ ಮಾಡು / ಕಾಡು,toṁdare koḍu / kirikiri māḍu / kāḍu
966,to bother (make an effort),verb,b1,intransitive,ಶ್ರಮ ಹಾಕು / ಪ್ರಯತ್ನಿಸು / ಕಷ್ಟಪಡು,śrama hāku / prayatnisu / kaṣṭapaḍu
967,"to bother (worry, concern oneself)",verb,b1,intransitive,ತಲೆಕೆಡಿಸಿಕೊ / ಚಿಂತಿಸು / ಗಮನಕೊಡು,talekeḍisiko / ciṁtisu / gamanakoḍu
968,bottle,noun,a1,N/A,ಬಾಟ್ಲಿ / ಸೀಸೆ,bāṭli / sīse
969,bottom (base or lowest part),noun,a2,N/A,ತಳ / ಅಡಿಭಾಗ / ಕೆಳಭಾಗ,taḷa / aḍibhāga / keḷabhāga
970,bottom (rear end),noun,a2,N/A,ಹಿಂಭಾಗ / ಹಿಂದಿನ ಭಾಗ / ಬೆನ್ನುಭಾಗ,hiṁbhāga / hiṁdina bhāga / bennubhāga
971,"bottom (lowest, adjective)",adjective,a2,N/A,ಕೆಳಗಿನ / ಅತ್ಯಂತ ಕೆಳಗಿನ / ಅಡಿಯ,keḷagina / atyaṁta keḷagina / aḍiya
972,bottom (body part),noun,a2,N/A,ಸೊಂಟದ ಹಿಂಭಾಗ / ಪೃಷ್ಠ / ನಿತಂಬ,soṁṭada hiṁbhāga / pr̥ṣṭha / nitaṁba
973,"to bounce (of a ball, passively)",verb,c1,intransitive,ಪುಟಿದೇಳು / ಚಿಮ್ಮು / ಕುಪ್ಪಳಿಸು,puṭidēḷu / cimmu / kuppaḷisu
974,"to bounce (a ball, actively)",verb,c1,transitive,ಪುಟಿಯಿಸು / ಚಿಮ್ಮಿಸು / ಕುಪ್ಪಳಿಸು,puṭiyisu / cimmisu / kuppaḷisu
975,"to bounce (of a check, payment)",verb,c1,intransitive,ಮರಳಿ ಹೋಗು / ವಾಪಸ್ಸು ಹೋಗು / ತಿರಸ್ಕೃತವಾಗು,maraḷi hōgu / vāpassu hōgu / tiraskr̥tavāgu
976,bound (obligated),adjective,b2,N/A,ಬಾಧ್ಯಸ್ಥ / ಬದ್ಧ / ನಿರ್ಬಂಧಿತ,bādhyastha / baddha / nirbaṁdhita
977,bound (headed toward),adjective,b2,N/A,ಕಡೆಗೆ ಹೋಗುತ್ತಿರುವ / ಸಾಗುತ್ತಿರುವ / ಮುನ್ನಡೆಯುತ್ತಿರುವ,kaḍege hōguttiruva / sāguttiruva / munnaḍeyuttiruva
978,"boundary (limit, scope)",noun,c1,N/A,ಮಿತಿ / ಗಡಿ / ಎಲ್ಲೆ,miti / gaḍi / elle
979,bow (weapon),noun,b1,N/A,ಬಿಲ್ಲು / ಧನುಸ್ಸು,billu / dhanussu
980,"bow (knot, ribbon)",noun,b1,N/A,ಬಿಲ್ಲು ಗಂಟು / ರಿಬ್ಬನ್ ಗಂಟು,billu gaṁṭu / ribban gaṁṭu
981,bow (of a ship),noun,c1,N/A,ಹಡಗಿನ ಮುಂಭಾಗ / ನೌಕೆಯ ಮುಂಭಾಗ,haḍagina muṁbhāga / naukeya muṁbhāga
982,"to bow (in reverence, greeting)",verb,b1,intransitive,ನಮಸ್ಕರಿಸು / ವಂದಿಸು / ಬಾಗಿ,namaskarisu / vaṁdisu / bāgi
983,"to bow (to submission, yield)",verb,c1,intransitive,ಶರಣಾಗು / ಒಪ್ಪಿಸಿಕೊ / ತಲೆಬಾಗಿ,śaraṇāgu / oppisiko / talebāgi
984,bowl (sporting event),noun,a2,N/A,ಬೌಲಿಂಗ್,bauliṁg
985,bowl (championship game),noun,a2,N/A,ಕಪ್ ಪಂದ್ಯ / ಚಾಂಪಿಯನ್ಶಿಪ್ ಪಂದ್ಯ,kap paṁdya / cāṁpiyanśip paṁdya
986,box,noun,a1,N/A,ಪೆಟ್ಟಿಗೆ / ಡಬ್ಬಿ,peṭṭige / ḍabbi
987,boy,noun,a1,N/A,ಹುಡುಗ / ಬಾಲಕ / ಕಿಶೋರ,huḍuga / bālaka / kiśōra
988,"boyfriend (casual, direct usage)",noun,a1,N/A,ಬಾಯ್ಫ್ರೆಂಡ್,bāyphreṁḍ
989,boyfriend (general),noun,a1,N/A,ಗೆಳೆಯ / ಸ್ನೇಹಿತ,geḷeya / snēhita
990,"brain (intellect, smarts)",noun,a2,N/A,ಬುದ್ಧಿ / ಜ್ಞಾನ / ಪ್ರಜ್ಞೆ,buddhi / jñāna / prajñe
991,brain (physical organ),noun,a2,N/A,ಮೆದುಳು,meduḷu
992,branch (tree limb),noun,b1,N/A,ಕೊಂಬೆ / ರೆಂಬೆ / ಡೊಂಕು,koṁbe / reṁbe / ḍoṁku
993,branch (office or division),noun,b1,N/A,ಶಾಖೆ / ವಿಭಾಗ / ಕಚೇರಿ,śākhe / vibhāga / kacēri
994,brand (physical mark),noun,b1,N/A,ಮುದ್ರೆ / ಗುರುತು / ಛಾಪು,mudre / gurutu / chāpu
995,"to brand (to mark livestock, property)",verb,b1,transitive,ಮುದ್ರೆ ಹಾಕು / ಗುರುತು ಹಾಕು / ಛಾಪು ಹಾಕು,mudre hāku / gurutu hāku / chāpu hāku
996,"to brand (a product, company)",verb,b2,transitive,ಬ್ರ್ಯಾಂಡ್ ಮಾಡು / ಗುರುತಿಸು,bryāṁḍ māḍu / gurutisu
997,to brand (to label negatively),verb,b2,transitive,ಹಣೆಪಟ್ಟಿ ಕಟ್ಟು / ದೂಷಿಸು / ಲೇಬಲ್ ಹಾಕು,haṇepaṭṭi kaṭṭu / dūṣisu / lēbal hāku
998,brave,adjective,b1,N/A,ಧೈರ್ಯವಿರುವ / ಧೀರ / ಸಾಹಸಿ,dhairyaviruva / dhīra / sāhasi
999,"brave (person, warrior)",adjective,b1,N/A,ಶೂರ / ಪರಾಕ್ರಮಿ / ವೀರ,śūra / parākrami / vīra
1000,breach (violation),noun,c1,N/A,ಉಲ್ಲಂಘನೆ / ಭಂಗ / ಮೀರುವಿಕೆ,ullaṁghane / bhaṁga / mīruvike
1001,breach (physical gap),noun,c1,N/A,ಬಿರುಕು / ಸೀಳು / ಛಿದ್ರ,biruku / sīḷu / chidra
1002,to breach (agreement or law),verb,c1,transitive,ಉಲ್ಲಂಘಿಸು / ಮೀರು / ಭಂಗಪಡಿಸು,ullaṁghisu / mīru / bhaṁgapaḍisu
1003,to breach (a physical barrier),verb,c1,transitive,ಭೇದಿಸು / ಮುರಿದು ಹಾಕು / ಒಡೆದು ಹಾಕು,bhēdisu / muridu hāku / oḍedu hāku
1004,bread (Western style),noun,a1,N/A,ಬ್ರೆಡ್,breḍ
1005,bread (flatbread/roti),noun,a1,N/A,ರೊಟ್ಟಿ / ಚಪಾತಿ / ಪೂರಿ,roṭṭi / capāti / pūri
1006,break (rest period),noun,a1,N/A,ವಿರಾಮ / ನಿಲುಗಡೆ / ಬಿಡುವು,virāma / nilugaḍe / biḍuvu
1007,"to break (physical object, transitive)",verb,a1,transitive,ಮುರಿ / ಒಡೆ / ಛಿದ್ರಗೊಳಿಸು,muri / oḍe / chidragoḷisu
1008,"to break (physical object, intransitive)",verb,a1,intransitive,ಮುರಿದು ಹೋಗು / ಒಡೆದು ಹೋಗು / ಛಿದ್ರವಾಗು,muridu hōgu / oḍedu hōgu / chidravāgu
1009,to break (a rule/law),verb,a1,transitive,ಉಲ್ಲಂಘಿಸು / ಮೀರು / ಭಂಗಪಡಿಸು,ullaṁghisu / mīru / bhaṁgapaḍisu
1010,to break (a promise),verb,a1,transitive,ಮಾತು ಮುರಿ / ವಚನ ಭಂಗ ಮಾಡು / ಪ್ರತಿಜ್ಞೆ ಮುರಿ,mātu muri / vacana bhaṁga māḍu / pratijñe muri
1011,breakdown (mechanical failure),noun,c1,N/A,ಯಾಂತ್ರಿಕ ವೈಫಲ್ಯ / ಕೆಟ್ಟು ನಿಲ್ಲುವಿಕೆ,yāṁtrika vaiphalya / keṭṭu nilluvike
1012,breakdown (emotional collapse),noun,c1,N/A,ಮಾನಸಿಕ ಕುಸಿತ / ಭಾವನಾತ್ಮಕ ಕುಸಿತ,mānasika kusita / bhāvanātmaka kusita
1013,breakdown (detailed analysis),noun,c1,N/A,ವಿವರವಾದ ವಿಂಗಡಣೆ / ವಿಸ್ತೃತ ವಿಶ್ಲೇಷಣೆ,vivaravāda viṁgaḍaṇe / vistr̥ta viślēṣaṇe
1014,bare (minimal amount),adjective,c1,N/A,ಕನಿಷ್ಠ / ಅತಿ ಕಡಿಮೆ,kaniṣṭha / ati kaḍime
1015,barely (with difficulty),adverb,b2,N/A,ಕಷ್ಟದಿಂದ / ಪ್ರಯಾಸದಿಂದ,kaṣṭadiṁda / prayāsadiṁda
1016,barely (scarcely),adverb,b2,N/A,ಕೇವಲ / ಸ್ವಲ್ಪ ಮಾತ್ರ / ಅಷ್ಟೇ,kēvala / svalpa mātra / aṣṭē
1017,"bargain (good deal, purchase)",noun,b2,N/A,ಒಳ್ಳೆಯ ವ್ಯವಹಾರ / ಲಾಭದಾಯಕ ಒಪ್ಪಂದ,oḷḷeya vyavahāra / lābhadāyaka oppaṁda
1018,barrel (container),noun,c1,N/A,ಪೀಪಾಯಿ / ಡ್ರಮ್,pīpāyi / ḍram
1019,barrel (of a gun),noun,c1,N/A,ಕೊಳವೆ / ನಳಿಕೆ,koḷave / naḷike
1020,barrier (physical structure),noun,b2,N/A,ತಡೆಗೋಡೆ / ತಡೆ / ಪ್ರತಿಬಂಧಕ,taḍegōḍe / taḍe / pratibaṁdhaka
1021,barrier (obstacle or hindrance),noun,b2,N/A,ಅಡಚಣೆ / ತಡೆ / ಪ್ರತಿಬಂಧ,aḍacaṇe / taḍe / pratibaṁdha
1022,base (military or operations center),noun,b1,N/A,ನೆಲೆ / ಠಾಣೆ / ಕೇಂದ್ರ,nele / ṭhāṇe / kēṁdra
1023,to base (establish location),verb,b1,transitive,ನೆಲೆಗೊಳಿಸು / ಸ್ಥಾಪಿಸು,nelegoḷisu / sthāpisu
1024,to base (upon facts or principles),verb,b1,transitive,ಆಧರಿಸು / ಅವಲಂಬಿಸು,ādharisu / avalaṁbisu
1025,baseball (the ball/sport),noun,a2,N/A,ಬೇಸ್ಬಾಲ್,bēsbāl
1026,based (located at),adjective,a2,N/A,ನೆಲೆಯಾಗಿರುವ / ಕೇಂದ್ರಿತ,neleyāgiruva / kēṁdrita
1027,"based (relying on, founded upon)",adjective,a2,N/A,ಆಧಾರಿತ / ಅವಲಂಬಿತ,ādhārita / avalaṁbita
1028,basement,noun,b2,N/A,ನೆಲಮನೆ,nelamane
1029,basic (fundamental),adjective,b1,N/A,ಮೂಲಭೂತ / ಪ್ರಾಥಮಿಕ / ಅಡಿಪಾಯದ,mūlabhūta / prāthamika / aḍipāyada
1030,basic (simple/rudimentary),adjective,b1,N/A,ಸರಳ / ಸಾಮಾನ್ಯ,saraḷa / sāmānya
1031,basic (simple),adjective,b1,N/A,ಸಾದಾ / ಸಾಮಾನ್ಯ / ಸರಳ,sādā / sāmānya / saraḷa
1032,"basically (in essence, fundamentally)",adverb,b2,N/A,ಮೂಲತಃ / ವಾಸ್ತವವಾಗಿ / ಮುಖ್ಯವಾಗಿ,mūlataḥ / vāstavavāgi / mukhyavāgi
1033,"basically (to summarize, put simply)",adverb,b2,N/A,ಸಂಕ್ಷಿಪ್ತವಾಗಿ / ಸರಳವಾಗಿ ಹೇಳಬೇಕೆಂದರೆ / ಒಟ್ಟಾರೆ,saṁkṣiptavāgi / saraḷavāgi hēḷabēkeṁdare / oṭṭāre
1034,basis,noun,b1,N/A,ಆಧಾರ / ಮೂಲ / ಬುಡ,ādhāra / mūla / buḍa
1035,basket,noun,b2,N/A,ಬುಟ್ಟಿ / ಕರಂಡಕ,buṭṭi / karaṁḍaka
1036,basketball (the ball/sport),noun,a2,N/A,ಬಾಸ್ಕೇಟ್ಬಾಲ್,bāskēṭbāl
1037,bass (sound frequency),noun,c1,N/A,ಗಂಭೀರ ಧ್ವನಿ / ತಗ್ಗಿದ ಧ್ವನಿ,gaṁbhīra dhvani / taggida dhvani
1038,bass (instrument),noun,c1,N/A,ಬೇಸ್,bēs
1039,bass (fish),noun,c1,N/A,ಬೇಸ್ ಮೀನು,bēs mīnu
1040,bat (animal),noun,b2,N/A,ಬಾವಲಿ,bāvali
1041,bat (sports equipment),noun,b2,N/A,ಬ್ಯಾಟ್,byāṭ
1042,"to bat (in cricket, baseball)",verb,c1,intransitive,ಬ್ಯಾಟ್ ಮಾಡು / ಬ್ಯಾಟ್ ಬೀಸು,byāṭ māḍu / byāṭ bīsu
1043,"to bat (eyelids, lashes)",verb,c1,transitive,ಮಿಟುಕಿಸು / ಕಣ್ಣು ಮಿಟುಕಿಸು,miṭukisu / kaṇṇu miṭukisu
1044,bath,noun,a1,N/A,ಸ್ನಾನ / ಮೀಯುವಿಕೆ,snāna / mīyuvike
1045,restroom (toilet facility),noun,a1,N/A,ಶೌಚಾಲಯ / ಟಾಯ್ಲೆಟ್ / ಸಂಡಾಸು,śaucālaya / ṭāyleṭ / saṁḍāsu
1046,battery,noun,b1,N/A,ಬ್ಯಾಟರಿ,byāṭari
1047,battle (struggle),noun,b1,N/A,ಹೋರಾಟ / ಯುದ್ಧ / ಸಮರ,hōrāṭa / yuddha / samara
1048,"to battle (against difficulty, illness)",verb,b2,intransitive,ಹೋರಾಡು / ಸೆಣಸು,hōrāḍu / seṇasu
1049,battlefield (metaphorical),noun,c1,N/A,ರಣರಂಗ / ಯುದ್ಧಭೂಮಿ / ಕದನರಂಗ,raṇaraṁga / yuddhabhūmi / kadanaraṁga
1050,bay (geographical feature),noun,c1,N/A,ಕೊಲ್ಲಿ / ಕಡಲಕೊಲ್ಲಿ / ಉಪಸಾಗರ,kolli / kaḍalakolli / upasāgara
1051,bay (designated area),noun,c1,N/A,ಆವರಣ / ಪ್ರದೇಶ / ವಿಭಾಗ,āvaraṇa / pradēśa / vibhāga
1059,beach,noun,a1,N/A,ಕಡಲತೀರ / ಸಮುದ್ರತೀರ / ದಂಡೆ,kaḍalatīra / samudratīra / daṁḍe
1060,beam (ray of light),noun,c1,N/A,ಕಿರಣ / ರಶ್ಮಿ,kiraṇa / raśmi
1061,beam (structural support),noun,c1,N/A,ತೊಲೆ / ಕಂಬ,tole / kaṁba
1062,bean (dried legume),noun,a2,N/A,ಕಾಳು / ಬೇಳೆ,kāḷu / bēḷe
1063,"bean (e.g., field bean, kidney bean)",noun,a2,N/A,ಅವರೆಕಾಳು / ಹುರುಳಿಕಾಳು,avarekāḷu / huruḷikāḷu
1064,bean (green vegetable pod),noun,a2,N/A,ಹುರುಳಿಕಾಯಿ / ಅವರೆಕಾಯಿ,huruḷikāyi / avarekāyi
1066,"to bear (to endure suffering, pain)",verb,b2,transitive,ಸಹಿಸು / ತಾಳು / ಅನುಭವಿಸು,sahisu / tāḷu / anubhavisu
1067,"to bear (to carry, support a load)",verb,b2,transitive,ಹೊರು / ಸಾಗಿಸು / ಒಯ್ಯಿ,horu / sāgisu / oyyi
1068,"to bear (to produce fruit, yield)",verb,b2,transitive,ಫಲಿಸು / ಬಿಡು / ಕೊಡು,phalisu / biḍu / koḍu
1069,to bear (to give birth),verb,b2,transitive,ಹೆರು / ಜನಿಸು / ಪ್ರಸವಿಸು,heru / janisu / prasavisu
1070,beast (wild animal),noun,c1,N/A,ಮೃಗ / ಕಾಡುಪ್ರಾಣಿ,mr̥ga / kāḍuprāṇi
1071,beast (cruel person),noun,c1,N/A,ಮೃಗ / ಕ್ರೂರಿ / ರಾಕ್ಷಸ,mr̥ga / krūri / rākṣasa
1072,"beat (rhythm, pulse)",noun,b2,N/A,ಲಯ / ತಾಳ / ಬಡಿತ,laya / tāḷa / baḍita
1073,beat (pulse),noun,b2,N/A,ಬಡಿತ / ನಾಡಿಮಿಡಿತ,baḍita / nāḍimiḍita
1074,beat (musical rhythm),noun,b2,N/A,ತಾಳ / ಲಯ,tāḷa / laya
1075,"beat (route, area)",noun,b2,N/A,ಗಸ್ತು ಪ್ರದೇಶ / ಗಸ್ತು ಮಾರ್ಗ,gastu pradēśa / gastu mārga
1076,to beat (to defeat in competition),verb,a2,transitive,ಸೋಲಿಸು / ಗೆಲ್ಲು,sōlisu / gellu
1077,to beat (heart or pulse),verb,a2,intransitive,ಬಡಿ / ಮಿಡಿ,baḍi / miḍi
1078,to beat (to whisk ingredients),verb,a2,transitive,ಕಡೆ / ಕಲಕು,kaḍe / kalaku
1079,beautiful,adjective,a1,N/A,ಸುಂದರ / ಅಂದವಾದ / ಚಂದದ / ರಮಣೀಯ,suṁdara / aṁdavāda / caṁdada / ramaṇīya
1080,beauty (a beautiful person),noun,b1,N/A,ಸುಂದರಿ / ಅಂದಗಾತಿ / ರೂಪವತಿ,suṁdari / aṁdagāti / rūpavati
1081,because (clause connector),conjunction,a1,N/A,ಯಾಕೆಂದರೆ / ಏಕೆಂದರೆ,yākeṁdare / ēkeṁdare
1082,"because of (a noun, reason)",conjunction,a1,N/A,ಕಾರಣದಿಂದ / ನಿಮಿತ್ತ / ಸಲುವಾಗಿ,kāraṇadiṁda / nimitta / saluvāgi
1084,bed (planting area),noun,a1,N/A,ಸಸಿಪಾತಿ / ಪಾತಿ,sasipāti / pāti
1085,bedroom,noun,a1,N/A,ಮಲಗುವ ಕೋಣೆ / ಮಲಗುವ ಮನೆ,malaguva kōṇe / malaguva mane
1086,bee,noun,b1,N/A,ಜೇನುನೊಣ / ಜೇನ್ನೊಣ,jēnunoṇa / jēnnoṇa
1089,before (in front of),adverb,a2,N/A,ಮುಂದೆ / ಎದುರಿಗೆ,muṁde / edurige
1091,before (in front of),conjunction,a2,N/A,ಮುಂದೆ / ಎದುರಿಗೆ,muṁde / edurige
1092,before (time),preposition,a1,N/A,ಮೊದಲು / ಪೂರ್ವ,modalu / pūrva
1093,before (in front of),preposition,a2,N/A,ಎದುರಿಗೆ / ಮುಂದೆ,edurige / muṁde
1094,to beg (to plead or implore),verb,b2,transitive,ಬೇಡಿಕೋ / ಯಾಚಿಸು / ಭಿಕ್ಷೆ ಬೇಡು,bēḍikō / yācisu / bhikṣe bēḍu
1095,to begin (intransitive),verb,a1,intransitive,ಶುರುವಾಗು / ಪ್ರಾರಂಭಿಸು,śuruvāgu / prāraṁbhisu
1096,"to begin (transitive, to initiate a task)",verb,a1,transitive,ಶುರುಮಾಡು / ಪ್ರಾರಂಭಿಸು,śurumāḍu / prāraṁbhisu
1097,"beginning (origin, source)",noun,a2,N/A,ಮೂಲ / ಆರಂಭ / ಪ್ರಾರಂಭ,mūla / āraṁbha / prāraṁbha
1098,behalf,noun,c1,N/A,ಪರ / ಪರವಾಗಿ,para / paravāgi
1099,to behave (to act or react),verb,a2,intransitive,ವರ್ತಿಸು / ನಡೆದುಕೋ,vartisu / naḍedukō
1100,behaviour,noun,a2,N/A,ನಡತೆ / ವರ್ತನೆ,naḍate / vartane
1101,behind (delayed or late),adverb,a1,N/A,ಹಿಂದುಳಿದು,hiṁduḷidu
1102,behind (at the rear),preposition,a1,N/A,ಹಿಂದೆ,hiṁde
1103,"being (creature, entity)",noun,b2,N/A,ಜೀವಿ,jīvi
1104,human being,noun,b2,N/A,ಮನುಷ್ಯ / ಮಾನವ,manuṣya / mānava
1105,"being (existence, state)",noun,b2,N/A,ಅಸ್ತಿತ್ವ / ಇರುವಿಕೆ,astitva / iruvike
1106,"belief (religious faith, creed)",noun,b1,N/A,ನಂಬಿಕೆ / ಶ್ರದ್ಧೆ,naṁbike / śraddhe
1107,to believe (to have faith in or trust),verb,a1,transitive,ನಂಬು,naṁbu
1108,bell (ornamental jingle),noun,b1,N/A,ಗೆಜ್ಜೆ,gejje
1109,to belong (to be owned by),verb,a2,intransitive,ಸೇರು,sēru
1110,"to belong (to a group, place)",verb,a2,intransitive,ಸೇರು,sēru
1111,to fit (into a place or context),verb,a2,intransitive,ಹೊಂದಿಕೊ / ಹೊಂದು,hoṁdiko / hoṁdu
1112,beloved (person),noun,c1,N/A,ಪ್ರಿಯತಮ / ಪ್ರಿಯತಮೆ / ಪ್ರಿಯರು,priyatama / priyatame / priyaru
1113,below (in a document or list),adverb,a1,N/A,ಕೆಳಗೆ,keḷage
1114,below (less than; inferior),adverb,a2,N/A,ಕಡಿಮೆ,kaḍime
1115,below (spatially),preposition,a1,N/A,ಕೆಳಗೆ,keḷage
1116,below (less than a standard/value),preposition,a1,N/A,ಕಡಿಮೆ,kaḍime
1117,"less than (in amount, rank)",preposition,a1,N/A,ಗಿಂತ ಕಡಿಮೆ,giṁta kaḍime
1118,belt (geographic zone),noun,b1,N/A,ವಲಯ / ಪ್ರದೇಶ,valaya / pradēśa
1119,across (to the opposite side),adverb,a1,N/A,ಆಚೆ ಕಡೆಗೆ,āce kaḍege
1120,"across (in width, diameter)",adverb,a2,N/A,ಅಡ್ಡವಾಗಿ,aḍḍavāgi
1121,across (moving from one side to the other),preposition,a1,N/A,ದಾಟಿ,dāṭi
1122,across (on the opposite side),preposition,a1,N/A,ಆಚೆ ಕಡೆ,āce kaḍe
1123,act (law),noun,b1,N/A,ಕಾಯಿದೆ / ಅಧಿನಿಯಮ,kāyide / adhiniyama
1124,act (theatrical segment),noun,b1,N/A,ಅಂಕ,aṁka
1125,to act (take action),verb,a2,intransitive,ಕಾರ್ಯ ಮಾಡು / ಕ್ರಮ ಕೈಗೊಳ್ಳು,kārya māḍu / krama kaigoḷḷu
1126,to act (perform a role),verb,a2,intransitive,ನಟಿಸು,naṭisu
1127,action (general activity or step),noun,a1,N/A,ಕಾರ್ಯ / ಚಟುವಟಿಕೆ,kārya / caṭuvaṭike
1128,action (a specific deed or act),noun,a1,N/A,ಕೃತ್ಯ,kr̥tya
1129,"to activate (technical system, account)",verb,b2,transitive,ಸಕ್ರಿಯಗೊಳಿಸು,sakriyagoḷisu
1130,"to activate (to trigger, stimulate)",verb,b2,transitive,ಪ್ರಚೋದಿಸು / ಉತ್ತೇಜಿಸು,pracōdisu / uttējisu
1131,activation,noun,c1,N/A,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,sakriyagoḷisuvike
1132,active (operational),adjective,a2,N/A,ಸಕ್ರಿಯ,sakriya
1133,activist,noun,c1,N/A,ಕಾರ್ಯಕರ್ತ,kāryakarta
1134,activity (task or event),noun,a1,N/A,ಚಟುವಟಿಕೆ,caṭuvaṭike
1135,activity (general state of action),noun,a1,N/A,ಚಟುವಟಿಕೆ,caṭuvaṭike
1136,actress,noun,a1,N/A,ನಟಿ,naṭi
1137,actress,noun,a1,N/A,ನಟಿ,naṭi
1138,"actual (specific, precise)",adjective,b2,N/A,ವಾಸ್ತವಿಕ / ನಿಜವಾದ,vāstavika / nijavāda
1139,"actually (in reality, truth)",adverb,a2,N/A,ನಿಜವಾಗಿ,nijavāgi
1140,"actually (as a matter of fact, to be precise)",adverb,b1,N/A,ವಾಸ್ತವವಾಗಿ,vāstavavāgi
1141,"acute (medical, severe)",adjective,c1,N/A,ತೀವ್ರವಾದ,tīvravāda
1142,"acute (keen, shrewd)",adjective,c1,N/A,ತೀಕ್ಷ್ಣವಾದ / ಚುರುಕಾದ,tīkṣṇavāda / curukāda
1143,advertisement,noun,b1,N/A,ಜಾಹೀರಾತು,jāhīrātu
1144,to adapt (oneself to circumstances),verb,b2,intransitive,ಹೊಂದಿಕೊ,hoṁdiko
1145,to adapt (modify for new purpose),verb,b2,transitive,ಅಳವಡಿಸು,aḷavaḍisu
1146,adaptation (process of adjusting),noun,c1,N/A,ಹೊಂದಾಣಿಕೆ,hoṁdāṇike
1147,"adaptation (of a work, e.g., book to film)",noun,c1,N/A,ರೂಪಾಂತರ,rūpāṁtara
1148,"to add (to include, insert)",verb,a1,transitive,ಸೇರಿಸು,sērisu
1149,addiction,noun,b2,N/A,ವ್ಯಸನ,vyasana
